Set Category,Set Name,Card ID,Card Name,Clan,Deck,Card Type
Core Set,Core Set,115,Giver of Gifts,Unicorn,Dynasty,Character
Core Set,Core Set,120,Shinjo Tatsuo,Unicorn,Dynasty,Character
Core Set,Core Set,113,Meishōdō Wielder,Unicorn,Dynasty,Character
Core Set,Core Set,196,Captive Audience,Unicorn,Conflict,Event
Core Set,Core Set,199,Cavalry Reserves,Unicorn,Conflict,Event
Core Set,Core Set,194,Born in War,Unicorn,Conflict,Attachment
Core Set,Core Set,197,I Am Ready,Unicorn,Conflict,Event
Core Set,Core Set,188,Ambush,Scorpion,Conflict,Event
Core Set,Core Set,18,Fertile Fields,Neutral,—,Province
Core Set,Core Set,30,Vanguard Warrior,Crab,Dynasty,Character
Core Set,Core Set,86,Meddling Mediator,Phoenix,Dynasty,Character
Core Set,Core Set,190,Iuchi Wayfinder,Unicorn,Conflict,Character
Core Set,Core Set,183,Fiery Madness,Scorpion,Conflict,Attachment
Core Set,Core Set,182,Court Mask,Scorpion,Conflict,Attachment
Core Set,Core Set,181,Unassuming Yōjimbō,Scorpion,Conflict,Character
Core Set,Core Set,186,Calling in Favors,Scorpion,Conflict,Event
Core Set,Core Set,184,Forged Edict,Scorpion,Conflict,Event
Core Set,Core Set,13,Secret Cache,Scorpion,—,Province
Core Set,Core Set,104,Shosuro Miyako,Scorpion,Dynasty,Character
Core Set,Core Set,99,Soshi Illusionist,Scorpion,Dynasty,Character
Core Set,Core Set,100,Yogo Outcast,Scorpion,Dynasty,Character
Core Set,Core Set,97,Sinister Soshi,Scorpion,Dynasty,Character
Core Set,Core Set,105,Bayushi Yunako,Scorpion,Dynasty,Character
Core Set,Core Set,98,Blackmail Artist,Scorpion,Dynasty,Character
Core Set,Core Set,95,Bayushi Liar,Scorpion,Dynasty,Character
Clan Pack,Disciples of the Void,10,Isawa Tadaka,Phoenix,Dynasty,Character
Clan Pack,Disciples of the Void,4,Fire Tensai Initiate,Phoenix,Dynasty,Character
Clan Pack,Disciples of the Void,6,Shiba Tetsu,Phoenix,Dynasty,Character
Clan Pack,Disciples of the Void,18,Kaito Kosori,Phoenix,Conflict,Character
Clan Pack,Disciples of the Void,11,Fushichō,Phoenix,Dynasty,Character
Clan Pack,Disciples of the Void,25,Yogo Kikuyo,Scorpion,Conflict,Character
Clan Pack,Disciples of the Void,1,Kyūden Isawa,Phoenix,—,Stronghold
Clan Pack,Disciples of the Void,15,Togashi Tadakatsu,Dragon,Dynasty,Character
Clan Pack,Disciples of the Void,23,Clarity of Purpose,Phoenix,Conflict,Event
Clan Pack,Disciples of the Void,19,Favor of the Kami,Phoenix,Conflict,Attachment
Clan Pack,Disciples of the Void,20,Katana of Fire,Phoenix,Conflict,Attachment
Clan Pack,Disciples of the Void,12,Secluded Shrine,Phoenix,Dynasty,Holding
Clan Pack,Disciples of the Void,8,Fire Elemental Guard,Phoenix,Dynasty,Character
Clan Pack,Disciples of the Void,7,Inquisitive Ishika,Phoenix,Dynasty,Character
Clan Pack,Disciples of the Void,3,Support of the Phoenix,Neutral,—,Role
Clan Pack,Disciples of the Void,24,Karmic Twist,Phoenix,Conflict,Event
Clan Pack,Disciples of the Void,13,Hida Amoro,Crab,Dynasty,Character
Clan Pack,Disciples of the Void,21,The Path of Man,Phoenix,Conflict,Event
Clan Pack,Disciples of the Void,17,Moto Nergüi,Unicorn,Dynasty,Character
Clan Pack,Disciples of the Void,14,Doji Shigeru,Crane,Dynasty,Character
Clan Pack,Disciples of the Void,27,Kami Unleashed,Neutral,Conflict,Character
Clan Pack,Disciples of the Void,26,Guardian Kami,Neutral,Conflict,Character
Clan Pack,Disciples of the Void,22,Wholeness of the World,Phoenix,Conflict,Event
Clan Pack,Disciples of the Void,9,Kaito Temple Protector,Phoenix,Dynasty,Character
Clan Pack,Disciples of the Void,28,Walking the Way,Neutral,Conflict,Event
Clan Pack,Disciples of the Void,2,Sanpuku Seidō,Phoenix,—,Province
Clan Pack,Disciples of the Void,5,Pacifist Philosopher,Phoenix,Dynasty,Character
Clan Pack,Disciples of the Void,16,Ikoma Tsanuri,Lion,Dynasty,Character
Clan Pack,Underhand of the Emperor,8,Bayushi Aramoro,Scorpion,Dynasty,Character
Clan Pack,Underhand of the Emperor,1,Kyūden Bayushi,Scorpion,—,Stronghold
Clan Pack,Underhand of the Emperor,14,Akodo Kage,Lion,Dynasty,Character
Clan Pack,Underhand of the Emperor,21,Stolen Breath,Scorpion,Conflict,Attachment
Clan Pack,Underhand of the Emperor,22,Duty,Scorpion,Conflict,Event
Clan Pack,Underhand of the Emperor,11,Court of Deception,Scorpion,Dynasty,Holding
Clan Pack,Underhand of the Emperor,10,Bayushi's Whisperers,Scorpion,Dynasty,Character
Clan Pack,Underhand of the Emperor,4,Alibi Artist,Scorpion,Dynasty,Character
Clan Pack,Underhand of the Emperor,26,Doji Fumiki,Crane,Conflict,Character
Clan Pack,Underhand of the Emperor,2,Brother's Gift Dōjō,Scorpion,—,Province
Clan Pack,Underhand of the Emperor,23,From the Shadows,Scorpion,Conflict,Event
Clan Pack,Underhand of the Emperor,20,Liar's Mask,Scorpion,Conflict,Attachment
Clan Pack,Underhand of the Emperor,18,Opium Wastrel,Scorpion,Conflict,Character
Clan Pack,Underhand of the Emperor,5,Shosuro Takao,Scorpion,Dynasty,Character
Clan Pack,Underhand of the Emperor,15,Asako Maezawa,Phoenix,Dynasty,Character
Clan Pack,Underhand of the Emperor,27,Offer Testimony,Neutral,Conflict,Event
Clan Pack,Underhand of the Emperor,28,Peasant's Advice,Neutral,Conflict,Event
Clan Pack,Underhand of the Emperor,17,Seppun Truthseeker,Neutral,Dynasty,Character
Clan Pack,Underhand of the Emperor,16,Utaku Tetsuko,Unicorn,Dynasty,Character
Clan Pack,Underhand of the Emperor,7,Soshi Aoi,Scorpion,Dynasty,Character
Clan Pack,Underhand of the Emperor,6,Insolent Rival,Scorpion,Dynasty,Character
Clan Pack,Underhand of the Emperor,9,Ignoble Enforcers,Scorpion,Dynasty,Character
Clan Pack,Underhand of the Emperor,12,Yasuki Oguri,Crab,Dynasty,Character
Clan Pack,Underhand of the Emperor,13,Kitsuki Shomon,Dragon,Dynasty,Character
Clan Pack,Underhand of the Emperor,25,Stolen Secrets,Scorpion,Conflict,Event
Clan Pack,Underhand of the Emperor,24,Make an Opening,Scorpion,Conflict,Event
Clan Pack,Underhand of the Emperor,19,Bayushi Collector,Scorpion,Conflict,Character
Clan Pack,Underhand of the Emperor,3,Support of the Scorpion,Neutral,—,Role
Clan Pack,Warriors of the Wind,6,Shinjo Trailblazer,Unicorn,Dynasty,Character
Clan Pack,Warriors of the Wind,12,Hida Tsuru,Crab,Dynasty,Character
Clan Pack,Warriors of the Wind,9,Iuchi Daiyu,Unicorn,Dynasty,Character
Clan Pack,Warriors of the Wind,5,Young Warrior,Unicorn,Dynasty,Character
Clan Pack,Warriors of the Wind,1,Shiro Shinjo,Unicorn,—,Stronghold
Clan Pack,Warriors of the Wind,23,Speak to the Heart,Unicorn,Conflict,Event
Clan Pack,Warriors of the Wind,4,Wild Stallion,Unicorn,Dynasty,Character
Clan Pack,Warriors of the Wind,3,Support of the Unicorn,Neutral,—,Role
Clan Pack,Warriors of the Wind,7,Iuchi Farseer,Unicorn,Dynasty,Character
Clan Pack,Warriors of the Wind,27,Compass,Neutral,Conflict,Attachment
Clan Pack,Warriors of the Wind,22,Utaku Battle Steed,Unicorn,Conflict,Attachment
Clan Pack,Warriors of the Wind,20,Curved Blade,Unicorn,Conflict,Attachment
Clan Pack,Warriors of the Wind,28,Trading on the Sand Road,Neutral,Conflict,Event
Clan Pack,Warriors of the Wind,21,Ring of Binding,Unicorn,Conflict,Attachment
Clan Pack,Warriors of the Wind,2,Khan's Ordu,Unicorn,—,Province
Clan Pack,Warriors of the Wind,18,Visiting Advisor,Unicorn,Conflict,Character
Clan Pack,Warriors of the Wind,19,Shinomen Wayfinders,Unicorn,Conflict,Character
Clan Pack,Warriors of the Wind,25,Warriors of the Wind,Unicorn,Conflict,Event
Clan Pack,Warriors of the Wind,11,Aranat,Unicorn,Dynasty,Character
Clan Pack,Warriors of the Wind,16,Shosuro Hyobu,Scorpion,Dynasty,Character
Clan Pack,Warriors of the Wind,13,Kakita Ryoku,Crane,Dynasty,Character
Clan Pack,Warriors of the Wind,17,Ivory Kingdoms Unicorn,Neutral,Dynasty,Character
Clan Pack,Warriors of the Wind,26,Ikoma Anakazu,Lion,Conflict,Character
Clan Pack,Warriors of the Wind,14,Agasha Taiko,Dragon,Dynasty,Character
Clan Pack,Warriors of the Wind,15,Kaito Nobukai,Phoenix,Dynasty,Character
Clan Pack,Warriors of the Wind,10,Moto Chagatai,Unicorn,Dynasty,Character
Clan Pack,Warriors of the Wind,8,Saadiyah al-Mozedu,Unicorn,Dynasty,Character
Clan Pack,Warriors of the Wind,24,Spoils of War,Unicorn,Conflict,Event
Clan Pack,Masters of the Court,20,Political Sanction,Crane,Conflict,Attachment
Clan Pack,Masters of the Court,1,Kyūden Kakita,Crane,—,Stronghold
Clan Pack,Masters of the Court,8,Kakita Yuri,Crane,Dynasty,Character
Clan Pack,Masters of the Court,9,Asahina Takamori,Crane,Dynasty,Character
Clan Pack,Masters of the Court,16,Akodo Makoto,Lion,Dynasty,Character
Clan Pack,Masters of the Court,22,Gossip,Crane,Conflict,Event
Clan Pack,Masters of the Court,13,Distinguished Dōjō,Crane,Dynasty,Holding
Clan Pack,Masters of the Court,11,Daidoji Uji,Crane,Dynasty,Character
Clan Pack,Masters of the Court,23,The Spear Rushes Forth,Crane,Conflict,Event
Clan Pack,Masters of the Court,26,Shinjo Haruko,Unicorn,Conflict,Character
Clan Pack,Masters of the Court,2,Market of Kaze-no-Kami,Crane,—,Province
Clan Pack,Masters of the Court,6,Kakita Favorite,Crane,Dynasty,Character
Clan Pack,Masters of the Court,27,Daimyō's Gunbai,Neutral,Conflict,Attachment
Clan Pack,Masters of the Court,14,Yasuki Fuzake,Crab,Dynasty,Character
Clan Pack,Masters of the Court,15,Kitsuki Jusai,Dragon,Dynasty,Character
Clan Pack,Masters of the Court,17,Chukan Nobue,Phoenix,Dynasty,Character
Clan Pack,Masters of the Court,18,Bayushi Dairu,Scorpion,Dynasty,Character
Clan Pack,Masters of the Court,19,Armament Artisan,Neutral,Dynasty,Character
Clan Pack,Masters of the Court,12,Winter Court Hosts,Crane,Dynasty,Character
Clan Pack,Masters of the Court,7,Maker of Keepsakes,Crane,Dynasty,Character
Clan Pack,Masters of the Court,25,Festival for the Fortunes,Crane,Conflict,Event
Clan Pack,Masters of the Court,24,Courteous Scheming,Crane,Conflict,Event
Clan Pack,Masters of the Court,10,Benevolent Host,Crane,Dynasty,Character
Clan Pack,Masters of the Court,3,Support of the Crane,Neutral,—,Role
Clan Pack,Masters of the Court,4,Iwasaki Pupil,Crane,Dynasty,Character
Clan Pack,Masters of the Court,5,Beloved Advisor,Crane,Dynasty,Character
Clan Pack,Masters of the Court,21,Letter of the Daimyō,Crane,Conflict,Attachment
Clan Pack,Masters of the Court,28,Retreat,Neutral,Conflict,Event
Clan Pack,The Emperor's Legion,10,Voice of the Ancestors,Lion,Dynasty,Character
Clan Pack,The Emperor's Legion,17,Shosuro Denmaru,Scorpion,Dynasty,Character
Clan Pack,The Emperor's Legion,6,Matsu Gohei,Lion,Dynasty,Character
Clan Pack,The Emperor's Legion,1,Kyūden Ikoma,Lion,—,Stronghold
Clan Pack,The Emperor's Legion,23,Embrace Death,Lion,Conflict,Event
Clan Pack,The Emperor's Legion,4,Ashigaru Levy,Lion,Dynasty,Character
Clan Pack,The Emperor's Legion,14,Yasuki Hikaru,Crab,Dynasty,Character
Clan Pack,The Emperor's Legion,28,Those Who Serve,Neutral,Conflict,Event
Clan Pack,The Emperor's Legion,18,Moto Ariq,Unicorn,Dynasty,Character
Clan Pack,The Emperor's Legion,27,Kitsuki Kāgi,Dragon,Conflict,Character
Clan Pack,The Emperor's Legion,16,Isawa Tsuke,Phoenix,Dynasty,Character
Clan Pack,The Emperor's Legion,20,Insolent Outcast,Neutral,Dynasty,Character
Clan Pack,The Emperor's Legion,19,Caravan Guard,Neutral,Dynasty,Character
Clan Pack,The Emperor's Legion,15,Doji Kuzunobu,Crane,Dynasty,Character
Clan Pack,The Emperor's Legion,22,Total Warfare,Lion,Conflict,Attachment
Clan Pack,The Emperor's Legion,21,Tactical Ingenuity,Lion,Conflict,Attachment
Clan Pack,The Emperor's Legion,3,Support of the Lion,Neutral,—,Role
Clan Pack,The Emperor's Legion,5,Samurai of Integrity,Lion,Dynasty,Character
Clan Pack,The Emperor's Legion,25,Prepare for War,Lion,Conflict,Event
Clan Pack,The Emperor's Legion,26,Right Hand of the Emperor,Lion,Conflict,Event
Clan Pack,The Emperor's Legion,11,Matsu Tsuko (TEL),Lion,Dynasty,Character
Clan Pack,The Emperor's Legion,8,Kitsu Motso,Lion,Dynasty,Character
Clan Pack,The Emperor's Legion,24,Honor in Battle,Lion,Conflict,Event
Clan Pack,The Emperor's Legion,13,Hall of Victories,Lion,Dynasty,Holding
Clan Pack,The Emperor's Legion,12,Champions of Yomi,Lion,Dynasty,Character
Clan Pack,The Emperor's Legion,7,Ardent Omoidasu,Lion,Dynasty,Character
Clan Pack,The Emperor's Legion,9,Akodo Motivator,Lion,Dynasty,Character
Clan Pack,The Emperor's Legion,2,Kenson no Gakka,Lion,—,Province
Clan Pack,Defenders of Rokugan,7,Hida O-Ushi,Crab,Dynasty,Character
Clan Pack,Defenders of Rokugan,26,Subterranean Guile,Crab,Conflict,Attachment
Clan Pack,Defenders of Rokugan,28,Siege Warfare,Crab,Conflict,Event
Clan Pack,Defenders of Rokugan,14,River of the Last Stand,Crab,Dynasty,Holding
Clan Pack,Defenders of Rokugan,17,Watchtower of Valor,Crab,Dynasty,Holding
Clan Pack,Defenders of Rokugan,13,Northern Curtain Wall,Crab,Dynasty,Holding
Clan Pack,Defenders of Rokugan,1,Kyūden Hida,Crab,—,Stronghold
Clan Pack,Defenders of Rokugan,10,Kaiu Shihobu,Crab,Dynasty,Character
Clan Pack,Defenders of Rokugan,18,Daidoji Netsu,Crane,Dynasty,Character
Clan Pack,Defenders of Rokugan,12,Kaiu Forges,Crab,Dynasty,Holding
Clan Pack,Defenders of Rokugan,15,Seventh Tower,Crab,Dynasty,Holding
